"geoUnit","Year","geoLevel","geoGroup","Gender","Age","RegionArea","VLNS","VLNS_num","VLS","VLS_num","HCTS","lat","lon","Population","ART2coverage","Water_spendingPerCapita","Unigold.HIV.1.2_Test_Eligible","Roads_spendingPerCapita","HIV.AIDS_spendingPerCapita","CumNumPersNotOnART_perc","Agriculture_spendingPerCapita","Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Stockout","HIVprevalence_num","Efavirenz.600Mg.Tablets_Treatment_Eligible","Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Available","Nevirapine.Oral.Solution_Treatment_Stockout","Nevirapine.Oral.Solution_Treatment_Available","Determine.HIV.1.2_Test_Stockout","Determine.HIV.1.2_Test_Unavailable","Nevirapine.Oral.Solution_Treatment_Unavailable_pct","Efavirenz.600Mg.Tablets_Treatment_Stockout","ANCSTR","Efavirenz.600Mg.Tablets_Treatment_Unavailable","Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Stockout","VCcases_new","Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Eligible","Determine.HIV.1.2_Test_Available","HIVprevalence","Unigold.HIV.1.2_Test_Unavailable","VCTHIVposCases_new","VCTHIVpos_new_perc","Determine.HIV.1.2_Test_Eligible","CumNumPersOnART","Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct","Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable","Others_spendingPerCapita","Unigold.HIV.1.2_Test_Unavailable_pct","Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Eligible","Unigold.HIV.1.2_Test_Stockout","Nevirapine.Oral.Solution_Treatment_Eligible","Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct","Determine.HIV.1.2_Test_Unavailable_pct","Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable","Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable_pct","Administration_spendingPerCapita","rptHIVcases","Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Available","Nevirapine.Oral.Solution_Treatment_Unavailable","VCcases_oldNew","CumNumPersEnrolledInHIV","Efavirenz.600Mg.Tablets_Treatment_Available","Health_spendingPerCapita","CurrNumPersOnART","Unigold.HIV.1.2_Test_Available","VCTcases_new","NumPersPerSqKm"
"Arusha",2008,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,26,-2.758363,36.263085,1486011,0.0313333333333333,4306.26287423175,1096.66666666667,669.038116137767,20.1882758606766,41.8247636924315,1080.04920555769,63,23776,516.666666666667,443.333333333333,114,704.666666666667,62,85.3333333333333,0.0995525024926674,85,0.465181333333333,86.6666666666667,80,16213,520.333333333333,822.333333333333,1.6,62.6666666666667,819,5,907.666666666667,8678,0.135107126478269,65.6666666666667,28293.1795255889,0.0699293022304072,830.333333333333,49,817,0.0568393375049748,0.0660363043421733,77,0.109078400100072,7882.7699679268,NA,764.666666666667,112.333333333333,18625,14917,430,2667.24539724133,NA,1034,16453,40
"Arusha",2009,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,34,-2.758363,36.263085,1701464,0.0342222222222222,1976.34106225537,1706.77777777778,57.6269778726771,289.246977807279,45.0219218122031,1767.73537461456,82,54218,790.777777777778,708.222222222222,170,1087.44444444444,83,108.555555555556,0.111745180371957,125,0.462735555555556,109.777777777778,115,41603,803.222222222222,1489.22222222222,3.2,82.4444444444444,37766,8.1,1597.77777777778,12038,0.12890636910849,83.1111111111111,29620.9235467806,0.0605131688027336,1285.88888888889,67,1259.66666666667,0.0557960930051372,0.0613736544282498,95,0.104615695026539,587.271639292265,NA,1202.77777777778,172.222222222222,53382,21896,681,3339.36910807302,7744.5,1624.33333333333,37753,45
"Arusha",2010,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,51,-2.758363,36.263085,1665000,0.0313333333333333,2301.01722614104,1096.66666666667,422.780862807877,126.583193262241,42.4650751547303,3173.08352927443,63,146906.5,516.666666666667,443.333333333333,114,704.666666666667,62,85.3333333333333,0.0995525024926674,85,0.465181333333333,86.6666666666667,80,24776,520.333333333333,822.333333333333,6.725,62.6666666666667,24080,3,907.666666666667,16268,0.135107126478269,65.6666666666667,9471.92900539741,0.0699293022304072,830.333333333333,49,817,0.0568393375049748,0.0660363043421733,77,0.109078400100072,7882.7699679268,NA,764.666666666667,112.333333333333,33269,28275,430,8156.71897321304,NA,1034,24276,44
"Arusha",2011,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,38.3333333333333,-2.758363,36.263085,1850939,0.0342222222222222,1933.0420937697,1706.77777777778,2456.84055498317,439.127383452399,41.7682707739478,4015.41271754498,82,54218,790.777777777778,708.222222222222,170,1087.44444444444,83,108.555555555556,0.111745180371957,125,0.462735555555556,109.777777777778,115,27530.6666666667,803.222222222222,1489.22222222222,3.2,82.4444444444444,19059,2.1,1597.77777777778,24310,0.12890636910849,83.1111111111111,11023.1017877952,0.0605131688027336,1285.88888888889,67,1259.66666666667,0.0557960930051372,0.0613736544282498,95,0.104615695026539,9706.35769196067,NA,1202.77777777778,172.222222222222,25477,41747,681,9622.3533028371,4206,1624.33333333333,19059,49
"Arusha",2012,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,45,-2.758363,36.263085,1694310,0.0332592592592593,1862.14828856137,1503.40740740741,2403.07541731819,342.119220364513,39.7797660013765,3171.39549890074,76,54218,699.407407407407,619.925925925926,152,959.851851851852,76,100.814814814815,0.107680954412194,112,0.463550814814815,102.074074074074,103,20494.5,708.925925925926,1266.92592592593,3.2,75.8518518518518,0,0,1367.74074074074,25375,0.13097328823175,77.2962962962963,8110.5076923418,0.0636518799452915,1134.03703703704,61,1112.11111111111,0.0561438411717498,0.0629278710662243,89,0.106103263384383,6125.72757811394,NA,1056.74074074074,152.259259259259,63521,42137,597.333333333333,8379.10490333961,11283,1427.55555555556,22262.75,45
"Arusha",2014,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,165,-2.758363,36.263085,1788318,0.038,NA,250,NA,NA,NA,NA,17,NA,98,94,26,131,14,13,0.0902777777777778,22,0.457844,10,25,NA,102,257,NA,27,NA,NA,270,NA,0.102040816326531,4,NA,0.108,145,31,144,0.0275862068965518,0.0481481481481482,8,0.0784313725490197,NA,NA,141,13,NA,NA,88,NA,NA,223,NA,48
"Arusha",2015,"Region","Tanzania","Both","All",37576,NA,NA,NA,NA,28.6772762345679,-2.758363,36.263085,1839531,0.04,1773.29419726132,2927,218.636573969101,571.071183475414,59.3282450244766,1841.65054732637,120,117471.666666667,1339,1238,284,1853,124,155,0.136130536130536,205,0.457844,156,184,NA,1369,2823,2.25,122,NA,NA,2978,NA,0.116504854368932,118,NA,0.0416809019473864,2197,102,2145,0.053709604005462,0.0520483546004029,131,0.0956902848794741,NA,NA,2079,292,NA,NA,1183,NA,NA,2805,NA,49
"Arusha",2016,"Region","Tanzania","Both","All",37576,24.4332493702771,97,75.5667506297229,300,27.75,-2.758363,36.263085,1890700,0.04,1773.29419726132,2896,218.636573969101,571.071183475414,59.3282450244766,1841.65054732637,171,117471.666666667,1334,1136,313,1865,172,236,0.144887666208161,226,0.597633,235,207,NA,1349,2070,3.16666666666667,154,NA,NA,2306,NA,0.17616191904048,185,NA,0.0531767955801105,2211,116,2181,0.0836725463591135,0.102341717259324,213,0.157894736842105,NA,NA,2026,316,NA,NA,1099,NA,NA,2742,NA,50
"Arusha",2017,"Region","Tanzania","Both","All",37576,25.9036144578314,43,74.0963855421686,123,27.75,-2.758363,36.263085,1865115.5,0.027,1773.29419726132,3247,218.636573969101,717.523718819375,59.3282450244766,1841.65054732637,169,117471.666666667,1421,1102,301,2115,116,144,0.140942323314379,299,0.901235,300,288,NA,1403,2885,1.9,119,NA,NA,3029,NA,0.211118930330753,196,NA,0.0366492146596858,2536,82,2462,0.0772870662460567,0.0475404423902278,301,0.214540270848183,NA,NA,2340,347,NA,NA,1121,NA,NA,3128,NA,50
"Arusha",2018,"Region","Tanzania","Both","All",37576,0,0,100,6,51,-2.758363,36.263085,1705200,0.142,2170.08477019981,1747,1178.52934045776,342.119220364513,41.652590175213,3505.54152224972,122,65432.5,694,623,148,1325,102,52,0.067558057705841,190,0.59375,116,178,NA,731,1641,3.9,79,NA,NA,1693,NA,0.167146974063401,77,NA,0.045220377790498,1472,119,1421,0.0523097826086957,0.0307147076196101,108,0.147742818057456,NA,NA,1395,96,NA,NA,578,NA,NA,1668,NA,45
