geoUnit,Year,RegionArea,VLNS,VLNS_num,VLS,VLS_num,HCTS,Population,ART2coverage,Unigold.HIV.1.2_Test_Eligible,CumNumPersNotOnART_perc,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Stockout,HIVprevalence_num,Efavirenz.600Mg.Tablets_Treatment_Eligible,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Stockout,Nevirapine.Oral.Solution_Treatment_Available,Determine.HIV.1.2_Test_Stockout,Determine.HIV.1.2_Test_Unavailable,Nevirapine.Oral.Solution_Treatment_Unavailable_pct,Efavirenz.600Mg.Tablets_Treatment_Stockout,Efavirenz.600Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Stockout,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Eligible,HIVprevalence,Unigold.HIV.1.2_Test_Unavailable,CumNumPersOnART,Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable,Unigold.HIV.1.2_Test_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Eligible,Unigold.HIV.1.2_Test_Stockout,Nevirapine.Oral.Solution_Treatment_Eligible,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Determine.HIV.1.2_Test_Unavailable_pct,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable_pct,rptHIVcases,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Unavailable,CumNumPersEnrolledInHIV,Efavirenz.600Mg.Tablets_Treatment_Available,Health_spendingPerCapita,CurrNumPersOnART,Unigold.HIV.1.2_Test_Available,VCTcases_new,NumPersPerSqKm
Arusha,2017,37576.0,25.9036144578314,43.0,74.0963855421686,123.0,27.75,1865115.5,0.027000000000000003,3247.0,59.3282450244766,169.0,117471.66666666699,1421.0,1102.0,301.0,2115.0,116.0,144.0,0.140942323314379,299.0,300.0,288.0,1403.0,1.9,119.0,,0.21111893033075302,196.0,0.0366492146596858,2536.0,82.0,2462.0,0.0772870662460567,0.0475404423902278,301.0,0.214540270848183,,2340.0,347.0,,1121.0,,,3128.0,,50.0
Dar es Salaam,2017,1393.0,18.9637607335177,1303.0,81.0362392664823,5568.0,27.75,5315985.0,0.14800000000000002,1403.0,41.20142458293461,163.0,266861.0,1067.0,1013.0,192.0,1246.0,183.0,71.0,0.0680628272251309,215.0,51.0,217.0,1078.0,4.7,71.0,53511.5,0.0477975632614808,67.0,0.0506058446186742,1375.0,154.0,1337.0,0.0487272727272727,0.0590682196339434,65.0,0.0602968460111317,,1308.0,91.0,,1016.0,,,1332.0,,3816.0
Dodoma,2017,41311.0,24.9506903353058,253.0,75.0493096646942,761.0,28.4583333333333,2054278.0,0.09300000000000001,3730.0,54.6539674768844,229.0,90599.8541666667,1399.0,1148.0,487.0,2788.0,213.0,310.0,0.18953488372093,257.0,261.0,259.0,1410.0,5.0,165.0,,0.186561829878485,303.0,0.0442359249329759,3430.0,116.0,3440.0,0.0883381924198251,0.0916346438072716,262.0,0.185815602836879,,3127.0,652.0,,1138.0,,,3565.0,,50.0
Geita,2017,20054.0,11.8410381184104,584.0,88.15896188158959,4348.0,38.5,2014898.25,0.013000000000000001,1487.0,40.42537825316379,48.0,45231.0,747.0,688.0,112.0,1268.0,81.0,87.0,0.0890804597701149,125.0,93.0,116.0,772.0,5.0,67.0,,0.12449799196787101,58.0,0.0450571620712845,1350.0,46.0,1392.0,0.042962962962962994,0.0627253064167268,84.0,0.10880829015544001,,1292.0,124.0,,654.0,,,1420.0,,100.0
Iringa,2017,35503.0,12.614678899082598,110.0,87.38532110091741,762.0,38.682870370370395,2737225.0,0.027000000000000003,2207.0,48.3028942711804,95.0,180056.0,799.0,770.0,304.0,1889.0,101.0,89.0,0.144474637681159,144.0,89.0,119.0,870.0,11.3,51.0,,0.11138923654568199,87.0,0.0231082917988219,2189.0,62.0,2208.0,0.0397441754225674,0.0483958673191952,100.0,0.11494252873563199,,2102.0,319.0,,710.0,,,2156.0,,77.0
Kagera,2017,25265.0,6.8,68.0,93.2,932.0,34.9166666666667,2271123.0,0.023,3308.0,50.8248842147527,79.0,117985.0,1828.0,1767.0,246.0,2906.0,57.0,66.0,0.0762873490146218,107.0,91.0,90.0,1844.0,6.5,54.0,16924.5,0.049781181619256,86.0,0.0163240628778718,3122.0,43.0,3146.0,0.0275464445868033,0.0217678100263852,77.0,0.0417570498915402,,3036.0,240.0,,1737.0,,,3254.0,,90.0
Katavi,2017,45843.0,13.363904356370801,408.0,86.6360956436292,2645.0,206.916666666667,1239033.0,0.153,511.0,39.6063169768479,4.0,79379.3333333333,278.0,269.0,20.0,473.0,8.0,0.0,0.0521042084168337,16.0,7.0,14.0,274.0,5.9,21.0,,0.0251798561151079,11.0,0.041095890410959,506.0,12.0,499.0,0.0217391304347826,0.0,5.0,0.0182481751824818,,495.0,26.0,,271.0,,,490.0,,27.0
Kigoma,2017,37040.0,22.098214285714302,99.0,77.90178571428571,349.0,30.5833333333333,1435987.5,0.018000000000000002,2144.0,53.5544514042391,206.0,93409.375,1005.0,688.0,388.0,1603.0,177.0,201.0,0.208395061728395,365.0,280.0,376.0,989.0,2.9,139.0,,0.278606965174129,234.0,0.0648320895522388,1994.0,119.0,2025.0,0.117352056168506,0.0977151191054935,301.0,0.304347826086957,,1760.0,422.0,,725.0,,,2005.0,,39.0
Kilimanjaro,2017,13250.0,20.2263676378118,2895.0,79.77363236218821,11418.0,30.5318287037037,1890700.0,0.032,2495.0,48.8766750991682,115.0,94841.3333333333,1258.0,1082.0,325.0,1835.0,163.0,186.0,0.159798534798535,244.0,214.0,242.0,1295.0,2.6,128.0,,0.17011128775834697,125.0,0.0513026052104208,2212.0,94.0,2184.0,0.0565099457504521,0.0853602569986233,213.0,0.16447876447876503,,2087.0,349.0,,1044.0,,,2367.0,,143.0
Lindi,2017,66040.0,100.0,0.0,0.0,0.0,42.8611111111111,897500.0,0.07200000000000001,1792.0,52.7543400252158,107.0,64821.0,1141.0,1034.0,240.0,1480.0,92.0,99.0,0.157655093910074,184.0,160.0,165.0,1171.0,0.3,78.0,8191.5,0.14022787028922,127.0,0.0435267857142857,1750.0,49.0,1757.0,0.0725714285714286,0.0649606299212598,137.0,0.116994022203245,,1623.0,277.0,,981.0,,,1714.0,,14.0
