Region,Year,Dispensary Government,Dispensary  Faith Based Organizations,Dispensay Parastatal,Dispensary Private
Arusha,2014,139,45,10,69
Dodoma,2014,235,25,9,17
DSM,2014,101,16,14,200
Geita,2014,87,10,1,18
Iringa,2014,146,38,2,11
Kagera,2014,200,22,9,17
Katavi,2014,46,4,0,7
Kigoma,2014,191,16,10,11
Kilimanjaro,2014,188,92,11,46
Lindi,2014,177,2,6,4
Manyara,2014,114,16,6,11
Mara,2014,171,24,11,23
Mbeya,2014,285,33,9,47
Morogoro,2014,213,47,24,33
Mtwara,2014,160,13,4,11
Mwanza,2014,208,13,22,49
Njombe,2014,173,26,2,6
Pwani,2014,187,14,13,29
Rukwa,2014,154,12,3,8
Ruvuma,2014,175,27,4,8
Shinyanga,2014,127,10,4,37
Simiyu,2014,159,11,2,14
Singida,2014,163,22,4,4
Tabora,2014,239,37,1,5
Tanga,2014,234,15,14,32
